"SubscriptionName","ResourceGroup","Name","Type","PrefixEsperado","Problema"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","azca5u3e7b567y2fg","microsoft.app/containerapps","ca","Nome não segue padrão v2.0: esperado 'ca-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","legal-text-extractor-v2","microsoft.app/containerapps","ca","Nome não segue padrão v2.0: esperado 'ca-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimento-parecer","microsoft.app/containerapps","ca","Nome não segue padrão v2.0: esperado 'ca-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","azcae5u3e7b567y2fg","microsoft.app/managedenvironments","cae","Nome não segue padrão v2.0: esperado 'cae-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","legal-text-extractor-env","microsoft.app/managedenvironments","cae","Nome não segue padrão v2.0: esperado 'cae-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimento-parecer","microsoft.app/managedenvironments","cae","Nome não segue padrão v2.0: esperado 'cae-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","microsoft.cognitiveservices/accounts","cog","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","microsoft.cognitiveservices/accounts","cog","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresigh-openai","microsoft.cognitiveservices/accounts","cog","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","gtp-npr-0001","gpt-utail-nprd-001","microsoft.cognitiveservices/accounts","cog","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-ha-3-0_OsDisk_1_f0ca8bf1b01c455c884a3a020cf1a88a","microsoft.compute/disks","disk","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-shared-mgmt-rg001","vm-prd-mgmt001-OSDisk","microsoft.compute/disks","disk","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","plaweprdgallery001","microsoft.compute/galleries","cgall","Nome não segue padrão v2.0: esperado 'cgall-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","vm-prd-siail001-DiskSnapshot-full","microsoft.compute/snapshots","snap","Nome não segue padrão v2.0: esperado 'snap-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-ha-3-0","microsoft.compute/virtualmachines","vm","Nome não segue padrão v2.0: esperado 'vm-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-nprd-ml-001","20b8b8ac96c44c1eb29519bbf5b47698","microsoft.containerregistry/registries","cr","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresighcr001","microsoft.containerregistry/registries","cr","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","iai4001","microsoft.containerregistry/registries","cr","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","lideranca","microsoft.containerregistry/registries","cr","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finops-hub-engine-cmf5jvnhltgzq","microsoft.datafactory/factories","adf","Nome não segue padrão v2.0: esperado 'adf-[workload]-[ambiente]-[regiao]-NNN'"
