"SubscriptionName","ResourceGroup","Name","Type","TagsFaltando","TagsPresentes"
"PlanAPP-fabric-suboo1","fabric_rg_001","aa-weu-fabric-data-platform","microsoft.automation/automationaccounts","departamento, ambiente, projeto, centrocusto","subscription"
"PlanAPP-fabric-suboo1","fabric_rg_001","rb_resume_suspend_fabric_capacity","microsoft.automation/automationaccounts/runbooks","departamento, ambiente, projeto, centrocusto","subscription"
"PlanAPP-fabric-suboo1","fabric_rg_001","fabricapacity001","microsoft.fabric/capacities","departamento, ambiente, projeto, centrocusto","subscription"
"Microsoft Azure Enterprise","cloud-shell-storage-westeurope","PLANAPP","microsoft.purview/accounts","departamento, ambiente, projeto, centrocusto",""
"PlanApp-prd-sub001","pla-we-nprd-ml-001","Failure Anomalies - mldev0016838627155","microsoft.alertsmanagement/smartdetectoralertrules","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","Failure Anomalies - planapp-prd-v2","microsoft.alertsmanagement/smartdetectoralertrules","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","azca5u3e7b567y2fg","microsoft.app/containerapps","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","ca-i4ia-001","microsoft.app/containerapps","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","legal-text-extractor-v2","microsoft.app/containerapps","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimento-parecer","microsoft.app/containerapps","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","azcae5u3e7b567y2fg","microsoft.app/managedenvironments","departamento, ambiente, projeto, centrocusto","subscription, azd-env-name"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","cae-i4ia-001","microsoft.app/managedenvironments","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","legal-text-extractor-env","microsoft.app/managedenvironments","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimento-parecer","microsoft.app/managedenvironments","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","legal-text-extractor.planapp-azcae5u3-251115225420","microsoft.app/managedenvironments/managedcertificates","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","legal-text-extractor.planapp-legal-te-251117103405","microsoft.app/managedenvironments/managedcertificates","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimento-parecer.planap-preenchi-251205171532","microsoft.app/managedenvironments/managedcertificates","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","verificar-criterios-ip.plana-azcae5u3-251115222536","microsoft.app/managedenvironments/managedcertificates","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-gov-cert-wildcard","microsoft.certificateregistration/certificateorders","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappgovpt","microsoft.certificateregistration/certificateorders","departamento, ambiente, projeto, centrocusto",""
"PlanApp-prd-sub001","pla-ne-prd-sites-rg005","planapppt","microsoft.certificateregistration/certificateorders","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg005","ptsustentavel","microsoft.certificateregistration/certificateorders","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","siailplanappgovpt","microsoft.certificateregistration/certificateorders","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource","microsoft.cognitiveservices/accounts","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","microsoft.cognitiveservices/accounts","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresigh-openai","microsoft.cognitiveservices/accounts","departamento, ambiente, projeto, centrocusto","environment, project, subscription"
"PlanApp-prd-sub001","gtp-npr-0001","gpt-utail-nprd-001","microsoft.cognitiveservices/accounts","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","rg-ai-pr-sc-001","ai-pr-sc-001-resource/ai-pr-sc-001","microsoft.cognitiveservices/accounts/projects","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoes-prd-comservice","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050-prd-comservice","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","congressodofuturo-prd-comservice","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envision-prd-comservice","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050-prd-comservice","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan-1ada35a364-acsendpoint","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-acsendpoint","microsoft.communication/communicationservices","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoes-prd-emailservice","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050-prd-emailservice","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","congressodofuturo-prd-emailservice","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envision-prd-emailservice","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050-prd-emailservice","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan-1ada35a364-emailacsendpoint","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-emailacsendpoint","microsoft.communication/emailservices","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","AzureManagedDomain","microsoft.communication/emailservices/domains","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
