"TagChave","NumRecursos","NumValoresDistintos","ValoresExemplo"
"Subscription","550","8","PlanApp-hub-sub001 | Hub | NPrd | PlanApp-nprd-sub001 | PlanAPP-AZURE-TEMP |  | Prd | PlanApp-prd-sub001"
"Environment","178","9","Hub | HUB | Prd | NPrd | Temp | NPRD | nprd | prd | Production"
"Owner","165","4","cesar.rosa@planapp.gov.pt | Henrique | luis.santos@planapp.gov.pt | planapp"
"Project","133","8","N.A. | SitesForesightLab2050 | ConnectivityTest | AI2 | Newsletter | Dados-Monitorização | foresight | Foresight"
"Scope","74","9","Network and Security | Management | Production Sites | Identity and Domain Services | Hub Shared Services | AI2 | PoC | Non Production Sites | Non Production Shared Services"
"AppProfile","56","1","Wordpress"
"WordPressDeploymentID","27","3","staging-portal-fc84df7a80 | portal-planapp-1ada35a364 | ptsustentavel-fcfca31c83"
"departamento","18","5","dsi ambiente=dev projeto=adse | dsi | NAE | SITDIA | planeamento"
"application","17","3","PRISMA | databricks | finopshub"
"cm-resource-parent","10","4","/subscriptions/4fae9137-e1bc-4ee1-ba0a-00cde430bfb3/resourcegroups/pla-we-prd-avd-rg001/providers/Microsoft.DesktopVirtualization/hostpools/pla-we-vdpool-002 | /subscriptions/4fae9137-e1bc-4ee1-ba0a-00cde430bfb3/resourcegroups/pla-we-prd-avd-rg001/providers/Microsoft.DesktopVirtualization/hostpools/pla-we-vdpool-001 | /subscriptions/4fae9137-e1bc-4ee1-ba0a-00cde430bfb3/resourceGroups/pla-we-prd-finopshub-rg001/providers/Microsoft.Cloud/hubs/finops-hub | /subscriptions/4fae9137-e1bc-4ee1-ba0a-00cde430bfb3/resourceGroups/pla-we-prd-avd-rg001/providers/Microsoft.DesktopVirtualization/hostpools/pla-we-vdpool-002"
"ambiente","9","5","NAE | dev | nprd | prospetiva | prd"
"projeto","9","8","NAE LABS | adse | INA-LAB | staging-portal | planeamento_prospetiva | Lideranca | Portal-PLANAPP | PTSustentavel"
"CostCenter","8","2","DSI Environment=nprd Project=Newsletter Owner=luis.santos@planapp.gov.pt Departamento=dsi | DSI"
"centrocusto","7","6","NAE | LABS | EMCGC | Foresight | EMSITDIA | Portal-PLANAPP"
"hidden-title","7","7","HUB - Azure Monitor Workbook for Azure Firewall | HUB - Application Gateway WAF Triage | HUB - Azure Monitor Workbook for Azure Firewall - Security | HUB - Azure Monitor Workbook for WAF | pla-we-nprd-nltr-appi001 Dashboard | pla-we-dev-adse-appi001 Dashboard | planapp-prd-v2 Dashboard"
"ftk-version","5","1","0.6"
"ftk-tool","5","1","FinOps hubs"
"createdByToolkit","5","1","cli-v2-1.30.0"
"Role","4","1","WebServer"
"service","3","2","aoai-direct-external | n8n"
"Criticidade","2","1","medium"
"Servico","2","1","comunicacao"
"consumer","2","1","ministerio-educacao"
"ProjectType","2","1","aoai-your-data-service"
"Compliance","2","1","gdpr"
"Owner ","2","1","cesar.rosa@planapp.gov.pt"
"databricks-environment","2","1","true"
"azd-env-name","2","1","prd"
"hidden-related:/subscriptions/e00af217-2e9b-4bcc-a0f3-1f2225db4031/resourceGroups/pla-we-nprd-inalab-rg001/providers/Microsoft.Web/serverfarms/asp-vat-dash","1","1","empty"
"Version","1","1","2.21.7"
"hidden-link:/subscriptions/e00af217-2e9b-4bcc-a0f3-1f2225db4031/resourceGroups/pla-we-nprd-nltr-rg001/providers/Microsoft.Insights/components/pla-we-nprd-nltr-appi001","1","1","Resource"
"FeaturesToRemove","1","1",""
"Purpose","1","1","AGW-VPN-Validation"
"FeaturesToAdd","1","1","M365CopilotChat"
"defaultExperience","1","1","Azure Cosmos DB for MongoDB API"
"System.Collections.Hashtable","1","1",""
"hidden-cosmos-mmspecial","1","1",""
"tipo","1","1","database"
"HTTPS","1","1","Enabled"
"Proxy","1","1","Caddy"
"Env","1","1","NonProd"
