"SubscriptionName","SubscriptionId","ResourceGroupName","Location","ProvisioningState","Tags"
"Microsoft Azure Enterprise","284978b3-9e7d-44b1-bf69-b815bd30ecca","cloud-shell-storage-westeurope","westeurope","Succeeded","null"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","cloud-shell-storage-westeurope","westeurope","Succeeded","{""projeto"":""infraestrutura cloud"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""hub""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","LogAnalyticsDefaultResources","westeurope","Succeeded","{""projeto"":""infraestrutura cloud"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""hub""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","NetworkWatcherRG","westeurope","Succeeded","{""projeto"":""infraestrutura cloud"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""hub""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-ne-hub-netsec-rg002","northeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""projeto"":""infraestrutura cloud"",""ambiente"":""hub"",""Scope"":""Network and Security"",""Subscription"":""PlanApp-hub-sub001"",""Environment"":""Hub""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-ne-nettest-rg001","northeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Project"":""ConnectivityTest"",""Purpose"":""AGW-VPN-Validation"",""ambiente"":""hub"",""projeto"":""infraestrutura cloud"",""Env"":""NonProd""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-hub-apigov-rg001","westeurope","Succeeded","{""projeto"":""infraestrutura cloud"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""hub""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-hub-netsec-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-hub-sub001"",""projeto"":""infraestrutura cloud"",""ambiente"":""hub"",""environment"":""Hub"",""scope"":""Network and Security""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-prd-ds-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""projeto"":""infraestrutura cloud"",""ambiente"":""hub"",""Scope"":""Identity and Domain Services"",""Subscription"":""PlanApp-hub-sub001"",""Environment"":""Prd""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-shared-costm-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-hub-sub001"",""projeto"":""infraestrutura cloud"",""ambiente"":""hub"",""environment"":""Hub"",""scope"":""Management""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-shared-hub-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-hub-sub001"",""projeto"":""infraestrutura cloud"",""ambiente"":""hub"",""environment"":""Hub"",""scope"":""Hub Shared Services""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-shared-hub-rg002","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""owner"":""luis.santos@planapp.gov.pt"",""ambiente"":""hub"",""Scope"":""Network and Security"",""projeto"":""infraestrutura cloud""}"
"PLANAPP-hub-sub001","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","pla-we-shared-mgmt-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""luis.santos@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-hub-sub001"",""projeto"":""infraestrutura cloud"",""ambiente"":""hub"",""environment"":""Hub"",""scope"":""Management""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","ai_pla-we-dev-adse-appi001_7cd251b0-287e-429e-aa69-0b95f89b58a3_managed","westeurope","Succeeded","{""Subscription"":""NPrd"",""departamento"":""dsi ambiente=dev projeto=adse""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","ai_pla-we-nprd-nltr-appi001_e2ff2377-8a27-4330-b9ac-f9cb6ebedf18_managed","westeurope","Succeeded","{""Subscription"":""NPrd"",""CostCenter"":""DSI Environment=nprd Project=Newsletter Owner=luis.santos@planapp.gov.pt Departamento=dsi""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","cloud-shell-storage-westeurope","westeurope","Succeeded","{""projeto"":""cloudstorage"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","DefaultResourceGroup-EUS","eastus","Succeeded","{""projeto"":""EUS"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","DefaultResourceGroup-WEU","westeurope","Succeeded","{""projeto"":""WEU"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","GPT-npr-0001","swedencentral","Succeeded","{""projeto"":""deeplab"",""owner"":""Tiago.Louro@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""NAE"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","NetworkWatcherRG","westeurope","Succeeded","{""projeto"":""networkwatching"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-EastUS-nrpd-IA","eastus","Succeeded","{""projeto"":""IA"",""owner"":""Tiago.Louro@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-itn-ml-rg001","italynorth","Succeeded","{""projeto"":""machinelearning"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-sc-nprd-staging-rg001","swedencentral","Succeeded","{""projeto"":""websiteplanapp"",""owner"":""Bruno.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-dev-adse-rg001","westeurope","Succeeded","{""projeto"":""adse"",""owner"":""Hugo.Moreira@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-Lab-AI-Day-001","westeurope","Succeeded","{""projeto"":""ailabday"",""owner"":""Tiago.Louro@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-npr-ai-datascience-lab-001","westeurope","Succeeded","{""projeto"":""datascience"",""owner"":""Rita.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-agents-rg001","swedencentral","Succeeded","{""projeto"":""agentes"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-ds-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""projeto"":""domainservice"",""ambiente"":""nprd"",""Scope"":""Identity and Domain Services"",""Subscription"":""PlanApp-nprd-sub001"",""Environment"":""NPrd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-foresight-001","westeurope","Succeeded","{""projeto"":""foresight"",""owner"":""carlos.martins@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-GesDoc-rg001","westeurope","Succeeded","{""projeto"":""GesDoc"",""owner"":""Ana.Pinto@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-gsees-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""service"":""aoai-direct-external"",""departamento"":""EMSITDIA"",""consumer"":""ministerio-educacao"",""projeto"":""gsees"",""ambiente"":""nprd"",""environment"":""nprd"",""owner"":""Cesar.Rosa@planapp.gov.pt""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-inalab-rg001","westeurope","Succeeded","{""projeto"":""inalab"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-naelabs-rg001","westeurope","Succeeded","{""projeto"":""naelabs"",""owner"":""Tiago.Louro@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-netsec-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-nprd-sub001"",""projeto"":""netsec"",""ambiente"":""nprd"",""environment"":""NPrd"",""scope"":""Network and Security""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-nltr-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""ambiente"":""nprd"",""projeto"":""nltr"",""CostCenter"":""DSI Environment=nprd Project=Newsletter Owner=luis.santos@planapp.gov.pt Departamento=dsi""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-prisma-rg001","westeurope","Succeeded","{""projeto"":""prisma"",""owner"":""Hugo.Moreira@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-psql-ai-reg001","westeurope","Succeeded","{""projeto"":""ai"",""owner"":""Tiago.Louro@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-sites-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Bruno.Costa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""projeto"":""websiteplanapp"",""ambiente"":""nprd"",""Scope"":""Non Production Sites"",""Subscription"":""PlanApp-nprd-sub001"",""Environment"":""NPrd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-nprd-vm-gpt-001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""owner"":""Tiago.Louro@planapp.gov.pt"",""ambiente"":""nprd"",""projeto"":""gpt"",""Environment"":""NPrd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-poc-ai2-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Elsa.Picao@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Project"":""AI2"",""projeto"":""ai2"",""ambiente"":""nprd"",""Scope"":""PoC"",""Subscription"":""PlanApp-nprd-sub001"",""Environment"":""NPrd""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-shared-costm-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-nprd-sub001"",""projeto"":""costm"",""ambiente"":""nprd"",""environment"":""NPrd"",""scope"":""Management""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-shared-mediawikilab2050-rg001","westeurope","Succeeded","{""projeto"":""lab2050"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""nprd""}"
