"SubscriptionName","SubscriptionId","ResourceGroup","Name","Type","Location","Kind","SKU","ProvisioningState","Tags","TagsOK","TagsFaltando","NamingOK","NamingIssue","PrefixEsperado"
"PLANAPP-shared-fabric-sub001","09ba5ec5-4e90-40cd-9887-f3b98b93b502","fabric_rg_001","aa-weu-fabric-data-platform","microsoft.automation/automationaccounts","westeurope","","","","{""Subscription"":""NPrd""}","False","departamento, ambiente, projeto, centrocusto","True","","aa"
"PLANAPP-shared-fabric-sub001","09ba5ec5-4e90-40cd-9887-f3b98b93b502","fabric_rg_001","rb_resume_suspend_fabric_capacity","microsoft.automation/automationaccounts/runbooks","westeurope","","","Succeeded","{""Subscription"":""NPrd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-shared-fabric-sub001","09ba5ec5-4e90-40cd-9887-f3b98b93b502","fabric_rg_001","fabricapacity001","microsoft.fabric/capacities","westeurope","","{""name"":""F8"",""tier"":""Fabric""}","Succeeded","{""Subscription"":""NPrd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-shared-datagov-sub001","1beacf55-f3bd-45c4-ac76-fedf91e8eced","cloud-shell-storage-westeurope","PLANAPP","microsoft.purview/accounts","northeurope","","{""name"":""Standard"",""capacity"":1}","Succeeded","{}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-nprd-ml-001","Failure Anomalies - mldev0016838627155","microsoft.alertsmanagement/smartdetectoralertrules","global","","","","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","Failure Anomalies - planapp-prd-v2","microsoft.alertsmanagement/smartdetectoralertrules","global","","","","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","azca5u3e7b567y2fg","microsoft.app/containerapps","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'ca-[workload]-[ambiente]-[regiao]-NNN'","ca"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-i4ia-rg001","ca-i4ia-001","microsoft.app/containerapps","westeurope","containerapps","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","True","","ca"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","legal-text-extractor-v2","microsoft.app/containerapps","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'ca-[workload]-[ambiente]-[regiao]-NNN'","ca"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","preenchimento-parecer","microsoft.app/containerapps","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'ca-[workload]-[ambiente]-[regiao]-NNN'","ca"
