"NodeType","Depth","ManagementGroupId","ManagementGroupName","ParentManagementGroupId","SubscriptionId","SubscriptionName","SubscriptionState","TenantId"
"ManagementGroup","0","cdb8a0e2-181d-4de3-896e-6e550ef1eaff","Root Management Group","","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","1","mg-planapp","mg-planapp","cdb8a0e2-181d-4de3-896e-6e550ef1eaff","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","1","bd17e8fd-02df-49f9-ac40-91be39d7fa46","PlanApp-root-mg001","cdb8a0e2-181d-4de3-896e-6e550ef1eaff","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","1","cdb8a0e2-181d-4de3-896e-6e550ef1eaff","Root Management Group","cdb8a0e2-181d-4de3-896e-6e550ef1eaff","284978b3-9e7d-44b1-bf69-b815bd30ecca","Microsoft Azure Enterprise","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","mg-planapp-decommissioned","mg-planapp-decommissioned","mg-planapp","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","mg-planapp-lz","mg-planapp-lz","mg-planapp","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","mg-planapp-platform","mg-planapp-platform","mg-planapp","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","mg-planapp-sandbox","mg-planapp-sandbox","mg-planapp","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","bbc9e215-d929-4832-987e-9f85d31be066","PlanApp-disab-mg001","bd17e8fd-02df-49f9-ac40-91be39d7fa46","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","b751b200-f9ac-4e3c-9da6-1f230113c03b","PlanApp-hub-mg001","bd17e8fd-02df-49f9-ac40-91be39d7fa46","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","696d2c63-af11-45ea-98b1-5a7f2f5cbd03","PlanApp-nprd-mg001","bd17e8fd-02df-49f9-ac40-91be39d7fa46","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","2","fd955625-b7a0-432c-8810-bcaf22266d75","PlanApp-prd-mg001","bd17e8fd-02df-49f9-ac40-91be39d7fa46","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","3","mg-planapp-lz-nprd","mg-planapp-lz-nprd","mg-planapp-lz","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"ManagementGroup","3","mg-planapp-lz-prod","mg-planapp-lz-prod","mg-planapp-lz","","","","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","3","mg-planapp-decommissioned","mg-planapp-decommissioned","mg-planapp-decommissioned","e27f13c7-8fec-42b8-9155-0dad1f056149","PLANAPP-EA-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","3","mg-planapp-decommissioned","mg-planapp-decommissioned","mg-planapp-decommissioned","51322027-cd87-4845-8add-e411310c2ede","PLANAPP-temp-azure-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","3","mg-planapp-platform","mg-planapp-platform","mg-planapp-platform","da10c68b-8d4f-4eb8-ba68-6f8770b8ebdb","PLANAPP-hub-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","3","mg-planapp-platform","mg-planapp-platform","mg-planapp-platform","52276eb8-8ee4-4964-bdde-c2f7df448bd5","PLANAPP-shared-backup-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","3","mg-planapp-platform","mg-planapp-platform","mg-planapp-platform","1beacf55-f3bd-45c4-ac76-fedf91e8eced","PLANAPP-shared-datagov-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","3","mg-planapp-platform","mg-planapp-platform","mg-planapp-platform","09ba5ec5-4e90-40cd-9887-f3b98b93b502","PLANAPP-shared-fabric-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","4","mg-planapp-lz-nprd","mg-planapp-lz-nprd","mg-planapp-lz-nprd","e00af217-2e9b-4bcc-a0f3-1f2225db4031","PLANAPP-nprd-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
"Subscription","4","mg-planapp-lz-prod","mg-planapp-lz-prod","mg-planapp-lz-prod","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","PLANAPP-prd-sub001","Enabled","cdb8a0e2-181d-4de3-896e-6e550ef1eaff"
