"Grupo","ObjectId","Estado","RoleAssignable","AmbitoAlvoMG","Role"
"SG-AZ-Cost-Reader","2ee2fafc-decc-44f2-aba1-46b0abc9be4b","Criado","False","mg-planapp","Cost Management Reader"
"SG-AZ-Nprd-Contributor","be91ad37-1b28-49f7-a81e-65af997312b6","Existente","False","mg-planapp-lz-nprd","Contributor"
"SG-AZ-Nprd-Owner","2a4f1166-6a74-4c17-805e-d27d149c1cd7","Existente","True","mg-planapp-lz-nprd","Owner"
"SG-AZ-Nprd-Reader","67ced0e8-e273-4288-b6f0-a7fafa649553","Existente","False","mg-planapp-lz-nprd","Reader"
"SG-AZ-Platform-Contributor","95da3355-117e-40cc-a569-4348513f8dda","Existente","False","mg-planapp-platform","Contributor"
"SG-AZ-Platform-Owner","7989ad43-e325-427c-bfc2-8a51eaddca6f","Existente","True","mg-planapp-platform","Owner"
"SG-AZ-Platform-Reader","8028a6f3-a029-4a40-9271-1ef9b289f738","Existente","False","mg-planapp-platform","Reader"
"SG-AZ-Prd-Contributor","0dfa3348-86f3-4e62-828e-850940ec9878","Existente","False","mg-planapp-lz-prod","Contributor"
"SG-AZ-Prd-Owner","8cb31907-2efb-4cee-9a2d-e56ec8213c8a","Existente","True","mg-planapp-lz-prod","Owner"
"SG-AZ-Prd-Reader","81f2684f-c6f3-402b-9da5-dab88431c634","Existente","False","mg-planapp-lz-prod","Reader"
"SG-AZ-Sandbox-Contributor","c5630711-e267-42ca-8c0d-619675c86eda","Existente","False","mg-planapp-sandbox","Contributor"
"SG-AZ-Sandbox-Owner","378ad59f-ded0-4e20-bd3d-1e157af2e580","Existente","True","mg-planapp-sandbox","Owner"
"SG-AZ-Sandbox-Reader","4f8680ca-380c-4549-a1fa-40cfc2e51884","Existente","False","mg-planapp-sandbox","Reader"
"SG-AZ-Workloads-SP","9edbc92b-3d06-44cf-92b1-5365835197ee","Existente","False","Por recurso/workload","(varios)"
